section,id,legacy_status,current_status,legacy_type,current_type
matched,DEV-001,backlog,backlog,chore,chore
matched,DEV-002,backlog,backlog,chore,chore
matched,IMP-001,backlog,backlog,chore,chore
matched,IMP-201,backlog,backlog,feature,feature
matched,IMP-202,backlog,backlog,feature,feature
matched,IMP-203,backlog,backlog,feature,feature
matched,RES-001,backlog,backlog,chore,chore
matched,RES-010,backlog,backlog,research,research
matched,IMP-101,done,done,chore,chore
matched,IMP-102,done,done,chore,chore
matched,IMP-103,done,done,feature,feature
matched,TOOL-001,done,done,chore,chore
matched,TOOL-002,done,done,chore,chore
matched,TOOL-003,done,done,feature,feature
matched,TOOL-004,done,done,chore,chore
matched,TOOL-005,done,done,chore,chore
matched,TOOL-006,done,done,feature,feature
matched,TOOL-007,done,done,feature,feature
matched,TOOL-008,done,done,feature,feature
matched,TOOL-009,done,done,feature,feature
currentOnly,task-001,,,,
currentOnly,BAC-001,,,,
currentOnly,BAC-002,,,,
currentOnly,DAT-001,,,,
currentOnly,DES-003,,,,
currentOnly,FRO-001,,,,
currentOnly,INT-002,,,,
currentOnly,TES-001,,,,
currentOnly,DEF-001,,,,
currentOnly,DES-004,,,,
currentOnly,DEV-004,,,,
currentOnly,DEV-005,,,,
currentOnly,DEV-006,,,,
currentOnly,IMP-003,,,,
currentOnly,IMP-004,,,,
currentOnly,IMP-005,,,,
currentOnly,INT-003,,,,
currentOnly,DEF-002,,,,
currentOnly,DES-005,,,,
currentOnly,DEV-007,,,,
currentOnly,IMP-006,,,,
currentOnly,INT-004,,,,
currentOnly,QUA-001,,,,
currentOnly,DEF-003,,,,
currentOnly,DES-006,,,,
currentOnly,DEV-008,,,,
currentOnly,DEV-009,,,,
currentOnly,IMP-007,,,,
currentOnly,IMP-008,,,,
currentOnly,QUA-002,,,,
currentOnly,DEF-004,,,,
currentOnly,DES-007,,,,
currentOnly,DEV-010,,,,
currentOnly,DEV-011,,,,
currentOnly,DEV-012,,,,
currentOnly,IMP-009,,,,
currentOnly,IMP-010,,,,
currentOnly,IMP-011,,,,
currentOnly,IMP-012,,,,
currentOnly,INT-005,,,,
currentOnly,COM-001,,,,
currentOnly,DEF-005,,,,
currentOnly,DES-008,,,,
currentOnly,DEV-013,,,,
currentOnly,DEV-014,,,,
currentOnly,ENS-001,,,,
currentOnly,IMP-013,,,,
currentOnly,IMP-014,,,,
currentOnly,UPD-001,,,,
currentOnly,DEF-006,,,,
currentOnly,DES-009,,,,
currentOnly,DES-010,,,,
currentOnly,DEV-015,,,,
currentOnly,IMP-015,,,,
currentOnly,IMP-016,,,,
currentOnly,INT-006,,,,
currentOnly,QUA-003,,,,
currentOnly,ADA-001,,,,
currentOnly,CON-002,,,,
currentOnly,DES-011,,,,
currentOnly,DES-012,,,,
currentOnly,DEV-016,,,,
currentOnly,DEV-017,,,,
currentOnly,IMP-017,,,,
currentOnly,COM-002,,,,
currentOnly,DES-013,,,,
currentOnly,ENS-002,,,,
currentOnly,IMP-018,,,,
currentOnly,IMP-019,,,,
currentOnly,IMP-020,,,,
currentOnly,IMP-021,,,,
currentOnly,IMP-022,,,,
currentOnly,IMP-023,,,,
currentOnly,BUI-001,,,,
currentOnly,CRE-001,,,,
currentOnly,DES-014,,,,
currentOnly,DEV-018,,,,
currentOnly,DEV-019,,,,
currentOnly,IMP-024,,,,
currentOnly,IMP-025,,,,
currentOnly,CON-003,,,,
currentOnly,DES-015,,,,
currentOnly,DES-016,,,,
currentOnly,DEV-020,,,,
currentOnly,DEV-021,,,,
currentOnly,IMP-026,,,,
currentOnly,INT-007,,,,
currentOnly,WRI-001,,,,